time(s), accuracy
7.0, 0.107500
15.0, 0.178800
22.0, 0.306400
30.0, 0.396300
38.0, 0.423700
45.0, 0.429200
53.0, 0.450900
61.0, 0.464700
68.0, 0.473800
76.0, 0.480300
84.0, 0.486400
92.0, 0.497600
100.0, 0.500900
107.0, 0.505500
115.0, 0.510200
123.0, 0.513200
130.0, 0.520000
138.0, 0.525800
146.0, 0.534000
154.0, 0.534000
162.0, 0.534400
169.0, 0.536400
177.0, 0.542700
185.0, 0.545100
193.0, 0.542400
201.0, 0.544600
209.0, 0.547300
217.0, 0.549700
225.0, 0.549900
233.0, 0.557000
241.0, 0.559000
249.0, 0.555800
257.0, 0.554100
266.0, 0.561400
275.0, 0.557400
283.0, 0.554000
292.0, 0.561000
300.0, 0.557300
310.0, 0.556800
317.0, 0.563900
325.0, 0.562300
333.0, 0.561100
341.0, 0.563000
349.0, 0.565500
357.0, 0.566000
365.0, 0.563000
374.0, 0.564800
382.0, 0.567400
390.0, 0.566300
399.0, 0.565900
408.0, 0.563600
417.0, 0.565400
426.0, 0.569400
434.0, 0.569300
443.0, 0.567700
451.0, 0.566700
459.0, 0.565700
468.0, 0.566400
478.0, 0.572900
486.0, 0.568200
495.0, 0.566300
503.0, 0.567300
512.0, 0.569000
521.0, 0.570000
529.0, 0.571700
537.0, 0.567900
545.0, 0.564600
554.0, 0.562300
562.0, 0.563200
571.0, 0.566400
579.0, 0.567100
588.0, 0.569100
596.0, 0.570700
606.0, 0.563100
616.0, 0.564300
625.0, 0.565900
635.0, 0.571500
644.0, 0.569900
654.0, 0.563000
663.0, 0.567400
673.0, 0.571200
683.0, 0.565100
692.0, 0.570100
701.0, 0.567500
711.0, 0.562200
720.0, 0.564000
730.0, 0.565000
740.0, 0.566200
748.0, 0.560300
758.0, 0.564900
767.0, 0.565400
775.0, 0.566000
784.0, 0.566600
792.0, 0.561700
800.0, 0.561900
809.0, 0.557400
817.0, 0.557400
826.0, 0.560300
834.0, 0.564600
843.0, 0.563300
851.0, 0.564000
860.0, 0.561100
868.0, 0.560100
877.0, 0.557300
886.0, 0.557200
894.0, 0.555800
903.0, 0.557200
912.0, 0.555400
920.0, 0.555900
928.0, 0.555900
937.0, 0.559200
946.0, 0.551300
955.0, 0.556200
963.0, 0.557300
972.0, 0.558800
981.0, 0.555300
989.0, 0.551300
998.0, 0.556400
1007.0, 0.554900
1016.0, 0.557800
1025.0, 0.554900
1034.0, 0.550800
1042.0, 0.551300
1051.0, 0.557000
1059.0, 0.549000
1068.0, 0.551500
1077.0, 0.550200
1085.0, 0.552400
1094.0, 0.550300
1103.0, 0.553300
1112.0, 0.550600
1121.0, 0.550100
1129.0, 0.550900
1138.0, 0.550700
1147.0, 0.551600
1156.0, 0.546400
1165.0, 0.549300
1174.0, 0.546000
1182.0, 0.545800
1191.0, 0.545400
1200.0, 0.548600
1209.0, 0.545800
1218.0, 0.548900
1226.0, 0.548100
1235.0, 0.547900
1244.0, 0.550500
1252.0, 0.548200
1262.0, 0.546100
1270.0, 0.547900
1279.0, 0.546000
1288.0, 0.550000
1297.0, 0.544800
1306.0, 0.545800
1316.0, 0.548400
1324.0, 0.542900
1333.0, 0.546400
1342.0, 0.544800
1351.0, 0.541100
1360.0, 0.547400
1369.0, 0.543300
1378.0, 0.547400
1387.0, 0.538500
1396.0, 0.541200
1405.0, 0.543100
1414.0, 0.543900
1422.0, 0.538700
1431.0, 0.546300
1441.0, 0.546000
1449.0, 0.544900
1458.0, 0.541100
1467.0, 0.541200
1476.0, 0.541100
1485.0, 0.544700
1494.0, 0.538700
1503.0, 0.540100
1513.0, 0.535700
1522.0, 0.539100
1531.0, 0.539600
1540.0, 0.544500
1550.0, 0.537000
1559.0, 0.539800
1568.0, 0.537700
1577.0, 0.542100
1586.0, 0.536300
1595.0, 0.542200
1604.0, 0.537800
1613.0, 0.535500
1622.0, 0.540000
1631.0, 0.537100
1640.0, 0.541400
1649.0, 0.537200
1658.0, 0.540200
1668.0, 0.540000
1677.0, 0.540100
1686.0, 0.536200
1695.0, 0.538000
1704.0, 0.540600
1714.0, 0.545300
1723.0, 0.540900
1732.0, 0.537100
1741.0, 0.534200
1750.0, 0.535600
1759.0, 0.537200
1768.0, 0.536800
1778.0, 0.532600
1787.0, 0.539700
1796.0, 0.539400
1805.0, 0.536800
1815.0, 0.536300
1824.0, 0.536500
1833.0, 0.533900
1842.0, 0.532200
1851.0, 0.535900
1861.0, 0.535600
1870.0, 0.530300
1879.0, 0.534500
1888.0, 0.529500
1897.0, 0.535100
1907.0, 0.533100
1916.0, 0.532700
1925.0, 0.529000
1934.0, 0.538600
1944.0, 0.533900
1953.0, 0.534900
1962.0, 0.531800
1972.0, 0.529400
1982.0, 0.531800
1992.0, 0.531300
2001.0, 0.533700
2011.0, 0.527200
2020.0, 0.526300
2030.0, 0.528200
2039.0, 0.527900
2049.0, 0.535500
2059.0, 0.529000
2069.0, 0.529500
2078.0, 0.526300
2088.0, 0.520700
2099.0, 0.530300
2109.0, 0.530600
2119.0, 0.529600
2129.0, 0.528900
2139.0, 0.529100
2148.0, 0.525300
2158.0, 0.527800
2169.0, 0.530600
2179.0, 0.528800
2189.0, 0.528600
2198.0, 0.531100
2209.0, 0.527900
2219.0, 0.527700
2229.0, 0.525000
2239.0, 0.531300
2248.0, 0.525700
2258.0, 0.524300
2268.0, 0.525700
2278.0, 0.524500
2289.0, 0.525800
2299.0, 0.520500
2310.0, 0.524300
2320.0, 0.527300
2331.0, 0.527600
2342.0, 0.527600
2352.0, 0.524500
2363.0, 0.526100
2373.0, 0.523100
2383.0, 0.524300
2393.0, 0.521700
2404.0, 0.522300
2415.0, 0.523500
2426.0, 0.526900
2437.0, 0.525100
2447.0, 0.520200
2458.0, 0.518900
2468.0, 0.528800
2479.0, 0.518000
2490.0, 0.517300
2500.0, 0.522000
2511.0, 0.524400
2522.0, 0.521100
2532.0, 0.520200
2542.0, 0.525700
2553.0, 0.518500
2563.0, 0.526200
2573.0, 0.522800
2583.0, 0.521400
2594.0, 0.519900
2604.0, 0.520700
2614.0, 0.522700
2624.0, 0.523400
2635.0, 0.523400
2645.0, 0.520200
2655.0, 0.518300
2666.0, 0.522500
2676.0, 0.517700
2686.0, 0.520900
2696.0, 0.520900
2706.0, 0.525500
2716.0, 0.522600
2726.0, 0.531800
