time(s), accuracy
1.0, 0.753008
1.0, 0.753008
2.0, 0.753008
2.0, 0.753008
3.0, 0.753008
3.0, 0.753008
4.0, 0.753008
4.0, 0.753008
5.0, 0.753008
5.0, 0.753008
6.0, 0.753008
6.0, 0.753008
7.0, 0.753008
7.0, 0.753008
8.0, 0.753008
8.0, 0.753008
9.0, 0.753008
9.0, 0.753008
9.0, 0.753008
10.0, 0.753008
10.0, 0.753008
11.0, 0.753008
11.0, 0.753008
12.0, 0.753008
12.0, 0.753008
13.0, 0.753008
13.0, 0.753008
14.0, 0.753008
14.0, 0.753008
15.0, 0.753008
15.0, 0.753008
15.0, 0.753008
16.0, 0.753008
16.0, 0.753008
17.0, 0.753008
17.0, 0.753008
18.0, 0.753008
18.0, 0.753008
19.0, 0.753008
19.0, 0.753008
20.0, 0.753008
20.0, 0.753008
21.0, 0.753008
21.0, 0.753008
22.0, 0.753008
22.0, 0.753008
23.0, 0.753008
23.0, 0.753008
24.0, 0.753008
24.0, 0.753008
25.0, 0.753008
25.0, 0.753008
25.0, 0.753008
26.0, 0.753008
26.0, 0.753008
27.0, 0.753008
27.0, 0.753008
28.0, 0.753008
28.0, 0.753008
29.0, 0.753008
29.0, 0.753008
29.0, 0.753008
30.0, 0.753008
30.0, 0.753008
31.0, 0.753008
31.0, 0.753008
32.0, 0.753008
32.0, 0.753008
32.0, 0.753008
33.0, 0.753008
33.0, 0.753008
34.0, 0.753008
34.0, 0.753008
35.0, 0.753008
36.0, 0.753008
36.0, 0.753008
37.0, 0.753008
37.0, 0.753008
38.0, 0.753008
38.0, 0.753008
39.0, 0.753008
39.0, 0.753008
40.0, 0.753008
40.0, 0.753008
41.0, 0.753008
41.0, 0.753008
41.0, 0.753008
42.0, 0.753008
42.0, 0.753008
43.0, 0.753008
43.0, 0.753008
44.0, 0.753008
44.0, 0.753008
45.0, 0.753008
45.0, 0.753008
45.0, 0.753008
46.0, 0.753008
46.0, 0.753008
47.0, 0.753008
47.0, 0.753008
48.0, 0.753008
48.0, 0.753008
49.0, 0.753008
49.0, 0.753008
49.0, 0.753008
50.0, 0.753008
50.0, 0.753008
51.0, 0.753008
51.0, 0.753008
52.0, 0.753008
52.0, 0.753008
53.0, 0.753008
53.0, 0.753008
53.0, 0.753008
54.0, 0.753008
