time(s), accuracy
8.0, 0.578689
12.0, 0.824945
16.0, 0.839430
20.0, 0.841395
24.0, 0.841640
28.0, 0.844341
32.0, 0.847041
36.0, 0.845568
40.0, 0.847041
44.0, 0.850233
48.0, 0.849742
52.0, 0.850970
55.0, 0.850479
60.0, 0.850233
63.0, 0.849497
68.0, 0.849251
71.0, 0.848760
76.0, 0.849497
80.0, 0.848024
84.0, 0.848515
87.0, 0.849988
91.0, 0.849497
95.0, 0.849251
99.0, 0.851215
103.0, 0.848515
107.0, 0.849251
111.0, 0.850233
115.0, 0.849497
119.0, 0.849988
123.0, 0.849742
127.0, 0.848024
130.0, 0.846305
135.0, 0.848269
139.0, 0.849251
142.0, 0.849497
146.0, 0.848515
151.0, 0.846305
155.0, 0.846305
159.0, 0.847778
163.0, 0.848024
167.0, 0.848269
171.0, 0.846796
175.0, 0.847287
179.0, 0.846796
183.0, 0.846550
187.0, 0.847287
191.0, 0.845814
195.0, 0.848024
199.0, 0.847287
203.0, 0.845814
207.0, 0.845323
211.0, 0.845568
215.0, 0.845814
219.0, 0.845077
223.0, 0.846059
227.0, 0.846550
231.0, 0.845077
235.0, 0.844832
239.0, 0.846796
243.0, 0.843359
247.0, 0.844095
252.0, 0.844586
256.0, 0.842868
260.0, 0.842131
264.0, 0.842622
268.0, 0.842377
272.0, 0.841886
276.0, 0.842131
280.0, 0.841640
284.0, 0.843359
287.0, 0.840658
291.0, 0.842622
295.0, 0.843604
299.0, 0.842377
303.0, 0.840658
307.0, 0.842131
311.0, 0.841149
315.0, 0.839185
319.0, 0.837957
323.0, 0.840658
328.0, 0.840167
332.0, 0.837466
336.0, 0.839185
340.0, 0.839185
344.0, 0.837957
348.0, 0.836975
352.0, 0.836730
356.0, 0.839430
360.0, 0.836975
364.0, 0.839921
368.0, 0.836484
372.0, 0.836484
376.0, 0.836484
379.0, 0.836730
382.0, 0.837466
386.0, 0.836975
389.0, 0.836484
392.0, 0.836484
396.0, 0.836730
399.0, 0.837221
