time(s), accuracy
18.0, 0.547106
33.0, 0.847349
48.0, 0.846097
63.0, 0.845189
78.0, 0.846318
93.0, 0.846269
108.0, 0.846367
123.0, 0.845852
138.0, 0.845852
153.0, 0.845803
168.0, 0.845876
183.0, 0.845925
198.0, 0.846588
213.0, 0.845704
229.0, 0.846736
244.0, 0.845582
259.0, 0.845631
274.0, 0.846171
289.0, 0.846073
304.0, 0.846024
319.0, 0.845999
334.0, 0.847079
349.0, 0.846883
364.0, 0.847178
379.0, 0.845704
394.0, 0.845827
409.0, 0.846343
425.0, 0.846441
440.0, 0.845852
455.0, 0.847423
470.0, 0.845827
485.0, 0.845704
500.0, 0.846392
515.0, 0.846269
530.0, 0.846392
545.0, 0.845606
560.0, 0.846269
575.0, 0.846834
590.0, 0.845852
605.0, 0.846932
620.0, 0.845729
634.0, 0.846662
650.0, 0.847349
665.0, 0.845680
680.0, 0.846146
695.0, 0.846637
710.0, 0.847104
725.0, 0.846146
740.0, 0.846269
754.0, 0.846490
769.0, 0.845778
784.0, 0.846588
799.0, 0.846122
814.0, 0.844575
828.0, 0.846416
843.0, 0.844305
858.0, 0.846613
873.0, 0.846171
887.0, 0.845950
902.0, 0.846048
918.0, 0.846245
933.0, 0.846588
948.0, 0.845852
963.0, 0.844894
978.0, 0.845582
993.0, 0.845508
1008.0, 0.845336
1023.0, 0.845901
1038.0, 0.846048
1053.0, 0.845213
1068.0, 0.843715
1083.0, 0.845041
1098.0, 0.845852
1113.0, 0.844256
1128.0, 0.845999
1143.0, 0.844894
1159.0, 0.845189
1174.0, 0.845557
1189.0, 0.844550
1205.0, 0.845361
1220.0, 0.845385
1235.0, 0.843912
1250.0, 0.844182
1266.0, 0.845164
1282.0, 0.844870
1297.0, 0.844698
1312.0, 0.845680
1327.0, 0.844698
1343.0, 0.844722
1358.0, 0.845140
1373.0, 0.844280
1388.0, 0.842832
1403.0, 0.844869
1418.0, 0.843470
1433.0, 0.844207
1449.0, 0.844870
1464.0, 0.845385
1479.0, 0.843347
1494.0, 0.845017
1509.0, 0.843715
1524.0, 0.843666
1539.0, 0.843372
1554.0, 0.844599
1570.0, 0.844575
1586.0, 0.844133
1601.0, 0.843396
1616.0, 0.841481
1631.0, 0.843347
1647.0, 0.843617
1662.0, 0.843986
1677.0, 0.843666
1692.0, 0.842365
1707.0, 0.841678
1722.0, 0.843789
1737.0, 0.843961
1752.0, 0.842881
1767.0, 0.843863
1782.0, 0.843102
1797.0, 0.843470
1812.0, 0.842070
1827.0, 0.843372
1842.0, 0.843666
1857.0, 0.842905
1872.0, 0.843102
1888.0, 0.841776
1903.0, 0.842758
1919.0, 0.842488
