time(s), accuracy
7.0, 0.434815
11.0, 0.716425
14.0, 0.781979
18.0, 0.808740
21.0, 0.821016
24.0, 0.825436
28.0, 0.828382
30.0, 0.829610
34.0, 0.830592
37.0, 0.833047
40.0, 0.834766
43.0, 0.834520
46.0, 0.835011
50.0, 0.834766
53.0, 0.835011
56.0, 0.834766
59.0, 0.835502
63.0, 0.835257
66.0, 0.835502
69.0, 0.835257
72.0, 0.836239
75.0, 0.836484
79.0, 0.836239
82.0, 0.836730
85.0, 0.836975
88.0, 0.837221
92.0, 0.836975
95.0, 0.837466
98.0, 0.837466
101.0, 0.837466
105.0, 0.838694
108.0, 0.839430
111.0, 0.840658
115.0, 0.840167
118.0, 0.840167
121.0, 0.840412
125.0, 0.840167
128.0, 0.840412
131.0, 0.841149
134.0, 0.841149
137.0, 0.841149
140.0, 0.841395
144.0, 0.840904
147.0, 0.840904
151.0, 0.840904
154.0, 0.840904
157.0, 0.840658
161.0, 0.840412
164.0, 0.840658
168.0, 0.840412
171.0, 0.840903
175.0, 0.840658
178.0, 0.840904
181.0, 0.840658
185.0, 0.840904
188.0, 0.841149
191.0, 0.841640
195.0, 0.841640
199.0, 0.842131
203.0, 0.842131
206.0, 0.842131
210.0, 0.842377
214.0, 0.841395
218.0, 0.841149
222.0, 0.841395
225.0, 0.842131
229.0, 0.841640
232.0, 0.841395
235.0, 0.841640
239.0, 0.842131
242.0, 0.841640
246.0, 0.841886
250.0, 0.841640
253.0, 0.842377
257.0, 0.842131
261.0, 0.841640
264.0, 0.841640
268.0, 0.841640
271.0, 0.842377
275.0, 0.842131
278.0, 0.842377
282.0, 0.841886
285.0, 0.841886
290.0, 0.841640
293.0, 0.841640
297.0, 0.841640
300.0, 0.841640
304.0, 0.841640
308.0, 0.841886
311.0, 0.841886
316.0, 0.841395
319.0, 0.841886
323.0, 0.842131
326.0, 0.841640
330.0, 0.841640
334.0, 0.842131
338.0, 0.842131
341.0, 0.841886
345.0, 0.841886
349.0, 0.842131
353.0, 0.841886
356.0, 0.841395
360.0, 0.842131
363.0, 0.841640
367.0, 0.841886
371.0, 0.842377
374.0, 0.842131
379.0, 0.842377
383.0, 0.842131
387.0, 0.842131
391.0, 0.842131
394.0, 0.842131
398.0, 0.842131
401.0, 0.842377
405.0, 0.842622
409.0, 0.842622
412.0, 0.842377
417.0, 0.842377
420.0, 0.842377
424.0, 0.842131
428.0, 0.842377
432.0, 0.842377
436.0, 0.842131
439.0, 0.842131
443.0, 0.842377
447.0, 0.842377
450.0, 0.842377
455.0, 0.842622
458.0, 0.842377
462.0, 0.842131
466.0, 0.842377
469.0, 0.842377
474.0, 0.842131
477.0, 0.842868
481.0, 0.842377
485.0, 0.842131
489.0, 0.842131
493.0, 0.842622
497.0, 0.842131
502.0, 0.841886
